p_mtorr,Te_eV,f_ion,n_m3,lam,gam,gamma_c,gam_over_gc,t_pen_periods,t_pen_ms
100.0,2.23606797749979,0.0001,3.2387969650829254e+17,7.6111559213267475,67.86699585587378,9.591483502910984,7.07575588648788,1.8702136210249478,0.007480854484099792
100.0,2.23606797749979,0.001,3.2387969650829256e+18,8.045648115629913,7.583670518712657,10.298202963641769,0.7364071717645417,inf,inf
100.0,2.23606797749979,0.01,3.2387969650829255e+19,8.564199449560425,0.8592725405920062,11.130010936493681,0.07720320721110677,inf,inf
100.0,2.23606797749979,0.1,3.2387969650829256e+20,9.197955774990758,0.09911514526264385,12.140383542768545,0.00816408681929016,inf,inf
100.0,2.23606797749979,1.0,3.2387969650829254e+21,9.997053988741117,0.011708505455273825,13.413631798114215,0.0008728810833259856,inf,inf
100.0,4.728708045015879,1e-06,3238796965082925.0,11.649488235772514,15899.046586713357,16.06329076019041,989.7751851766204,0.3434433019939705,0.001373773207975882
100.0,4.728708045015879,1e-05,3.2387969650829256e+16,12.14579506629972,1728.2608249822008,16.865525615926288,102.47298924085631,1.1653779780072802,0.004661511912029121
100.0,4.728708045015879,0.0001,3.2387969650829254e+17,12.711468205293968,189.2992174563879,17.78393833415608,10.644392366836833,4.140417463411277,0.016561669853645107
100.0,4.728708045015879,0.001,3.2387969650829256e+18,13.36433403090044,20.924352682628847,18.849432242567566,1.1100786704532934,42.83839511134839,0.17135358044539356
100.0,4.728708045015879,0.01,3.2387969650829255e+19,14.129371286937213,2.338853732293544,20.105623576058385,0.11632833587308539,inf,inf
100.0,4.728708045015879,0.1,3.2387969650829256e+20,15.042881287560375,0.2651059310803353,21.616420083401895,0.01226409970094429,inf,inf
100.0,4.728708045015879,1.0,3.2387969650829254e+21,16.160075328694152,0.03059455560664443,23.479935752991107,0.0013030084889711418,inf,inf
100.0,10.0,1e-06,3238796965082925.0,19.675116156949958,45351.53568282575,29.452960610107922,1539.7954821309752,0.7852976443545412,0.003141190577418165
100.0,10.0,1e-05,3.2387969650829256e+16,20.4489750587605,4898.921473665176,30.789414268849768,159.11057712525266,2.6463834049122252,0.010585533619648901
100.0,10.0,0.0001,3.2387969650829254e+17,21.321972160764332,532.613452638256,32.30597990612393,16.486528320327892,9.193224047158909,0.036772896188635634
100.0,10.0,0.001,3.2387969650829256e+18,22.317259958543588,58.349767799472666,34.04624939642854,1.713838347362678,46.91070320877221,0.18764281283508885
100.0,10.0,0.01,3.2387969650829255e+19,23.466344377074545,6.451315288399311,36.069991509599056,0.17885547011239156,inf,inf
100.0,10.0,0.1,3.2387969650829256e+20,24.81340753377698,0.7213237045675395,38.46172702719041,0.018754324371799573,inf,inf
100.0,10.0,1.0,3.2387969650829254e+21,26.422721954879606,0.0817923143777099,41.34557063674643,0.0019782606242472775,inf,inf
